Episode Number,Random Agent,Naïve Sarsa,"Sarsa, Space Discretized","Sarsa, Space Discretized, Noisy Observation",Deep Q-Network,"Deep Q-Network, Noisy Observation",Dueling Deep Q-Network,"Dueling Deep Q-Network, Noisy Observation",REINFORCE,"REINFORCE, Noisy Observation"
4637,-1.59E+02,-8.22E+01,-8.19E+01,-1.36E+02,,,,,,
4638,-1.60E+02,-8.22E+01,-8.12E+01,-1.37E+02,,,,,,
4639,-1.62E+02,-8.19E+01,-7.93E+01,-1.36E+02,,,,,,
4640,-1.66E+02,-8.25E+01,-7.85E+01,-1.36E+02,,,,,,
4641,-1.67E+02,-8.14E+01,-8.00E+01,-1.36E+02,,,,,,
4642,-1.67E+02,-8.32E+01,-8.01E+01,-1.37E+02,,,,,,
4643,-1.65E+02,-8.25E+01,-7.96E+01,-1.36E+02,,,,,,
4644,-1.66E+02,-8.40E+01,-8.02E+01,-1.37E+02,,,,,,
4645,-1.69E+02,-8.23E+01,-7.98E+01,-1.38E+02,,,,,,
4646,-1.69E+02,-8.39E+01,-7.94E+01,-1.37E+02,,,,,,
4647,-1.69E+02,-8.10E+01,-8.00E+01,-1.37E+02,,,,,,
4648,-1.70E+02,-8.12E+01,-8.07E+01,-1.37E+02,,,,,,
4649,-1.70E+02,-7.83E+01,-8.07E+01,-1.38E+02,,,,,,
4650,-1.72E+02,-7.94E+01,-7.96E+01,-1.38E+02,,,,,,
4651,-1.74E+02,-7.87E+01,-7.92E+01,-1.37E+02,,,,,,
4652,-1.72E+02,-7.79E+01,-8.05E+01,-1.37E+02,,,,,,
4653,-1.73E+02,-8.01E+01,-8.02E+01,-1.38E+02,,,,,,
4654,-1.72E+02,-8.10E+01,-8.09E+01,-1.38E+02,,,,,,
4655,-1.70E+02,-7.91E+01,-8.08E+01,-1.38E+02,,,,,,
4656,-1.68E+02,-7.86E+01,-8.06E+01,-1.39E+02,,,,,,
4657,-1.71E+02,-7.90E+01,-8.08E+01,-1.39E+02,,,,,,
4658,-1.69E+02,-7.81E+01,-8.02E+01,-1.40E+02,,,,,,
4659,-1.70E+02,-7.90E+01,-7.94E+01,-1.39E+02,,,,,,
4660,-1.70E+02,-8.02E+01,-8.22E+01,-1.39E+02,,,,,,
4661,-1.72E+02,-8.03E+01,-8.03E+01,-1.39E+02,,,,,,
4662,-1.73E+02,-8.07E+01,-8.01E+01,-1.39E+02,,,,,,
4663,-1.77E+02,-8.10E+01,-7.89E+01,-1.40E+02,,,,,,
4664,-1.76E+02,-8.14E+01,-7.90E+01,-1.39E+02,,,,,,
4665,-1.76E+02,-8.13E+01,-7.88E+01,-1.39E+02,,,,,,
4666,-1.79E+02,-8.12E+01,-7.73E+01,-1.39E+02,,,,,,
4667,-1.81E+02,-7.99E+01,-7.79E+01,-1.39E+02,,,,,,
4668,-1.81E+02,-8.06E+01,-7.81E+01,-1.39E+02,,,,,,
4669,-1.84E+02,-7.92E+01,-7.83E+01,-1.41E+02,,,,,,
4670,-1.85E+02,-7.90E+01,-7.79E+01,-1.41E+02,,,,,,
4671,-1.84E+02,-8.00E+01,-7.85E+01,-1.42E+02,,,,,,
4672,-1.85E+02,-8.05E+01,-7.69E+01,-1.43E+02,,,,,,
4673,-1.84E+02,-8.13E+01,-7.73E+01,-1.43E+02,,,,,,
4674,-1.84E+02,-8.14E+01,-7.54E+01,-1.43E+02,,,,,,
4675,-1.84E+02,-8.16E+01,-7.62E+01,-1.43E+02,,,,,,
4676,-1.81E+02,-8.24E+01,-7.59E+01,-1.44E+02,,,,,,
4677,-1.84E+02,-8.25E+01,-7.34E+01,-1.45E+02,,,,,,
4678,-1.85E+02,-8.10E+01,-7.33E+01,-1.45E+02,,,,,,
4679,-1.85E+02,-8.29E+01,-7.48E+01,-1.47E+02,,,,,,
4680,-1.84E+02,-8.22E+01,-7.44E+01,-1.48E+02,,,,,,
4681,-1.86E+02,-8.24E+01,-7.32E+01,-1.48E+02,,,,,,
4682,-1.87E+02,-8.26E+01,-7.32E+01,-1.47E+02,,,,,,
4683,-1.86E+02,-8.20E+01,-7.55E+01,-1.47E+02,,,,,,
4684,-1.87E+02,-8.18E+01,-7.57E+01,-1.46E+02,,,,,,
4685,-1.87E+02,-8.09E+01,-7.54E+01,-1.46E+02,,,,,,
4686,-1.85E+02,-8.09E+01,-7.51E+01,-1.46E+02,,,,,,
4687,-1.85E+02,-8.23E+01,-7.42E+01,-1.46E+02,,,,,,
4688,-1.86E+02,-8.21E+01,-7.12E+01,-1.46E+02,,,,,,
4689,-1.85E+02,-8.03E+01,-7.13E+01,-1.47E+02,,,,,,
4690,-1.85E+02,-7.94E+01,-7.13E+01,-1.47E+02,,,,,,
4691,-1.82E+02,-7.81E+01,-7.17E+01,-1.46E+02,,,,,,
4692,-1.81E+02,-8.12E+01,-7.10E+01,-1.46E+02,,,,,,
4693,-1.83E+02,-8.23E+01,-7.11E+01,-1.46E+02,,,,,,
4694,-1.82E+02,-8.18E+01,-7.09E+01,-1.46E+02,,,,,,
4695,-1.82E+02,-8.34E+01,-7.19E+01,-1.46E+02,,,,,,
4696,-1.83E+02,-8.30E+01,-6.94E+01,-1.46E+02,,,,,,
4697,-1.84E+02,-8.27E+01,-6.94E+01,-1.46E+02,,,,,,
4698,-1.83E+02,-8.41E+01,-6.91E+01,-1.47E+02,,,,,,
4699,-1.83E+02,-8.48E+01,-6.96E+01,-1.46E+02,,,,,,
4700,-1.85E+02,-8.52E+01,-6.89E+01,-1.46E+02,,,,,,
4701,-1.86E+02,-8.48E+01,-6.93E+01,-1.47E+02,,,,,,
4702,-1.88E+02,-8.52E+01,-7.11E+01,-1.46E+02,,,,,,
4703,-1.88E+02,-8.56E+01,-7.01E+01,-1.47E+02,,,,,,
4704,-1.89E+02,-8.55E+01,-7.21E+01,-1.45E+02,,,,,,
4705,-1.90E+02,-8.50E+01,-7.28E+01,-1.44E+02,,,,,,
4706,-1.91E+02,-8.44E+01,-7.28E+01,-1.43E+02,,,,,,
4707,-1.91E+02,-8.24E+01,-7.24E+01,-1.43E+02,,,,,,
4708,-1.92E+02,-8.32E+01,-7.30E+01,-1.40E+02,,,,,,
4709,-1.94E+02,-8.34E+01,-7.11E+01,-1.39E+02,,,,,,
4710,-1.95E+02,-8.36E+01,-7.10E+01,-1.39E+02,,,,,,
4711,-1.95E+02,-8.20E+01,-7.03E+01,-1.39E+02,,,,,,
4712,-1.96E+02,-8.21E+01,-7.18E+01,-1.39E+02,,,,,,
4713,-1.96E+02,-8.07E+01,-7.15E+01,-1.39E+02,,,,,,
4714,-1.96E+02,-8.05E+01,-7.27E+01,-1.39E+02,,,,,,
4715,-1.96E+02,-8.12E+01,-7.48E+01,-1.38E+02,,,,,,
4716,-1.98E+02,-8.23E+01,-7.63E+01,-1.38E+02,,,,,,
4717,-1.99E+02,-8.28E+01,-7.58E+01,-1.37E+02,,,,,,
4718,-1.96E+02,-8.38E+01,-7.61E+01,-1.35E+02,,,,,,
4719,-1.98E+02,-8.35E+01,-7.65E+01,-1.36E+02,,,,,,
4720,-1.98E+02,-8.52E+01,-7.66E+01,-1.34E+02,,,,,,
4721,-1.98E+02,-8.35E+01,-7.66E+01,-1.34E+02,,,,,,
4722,-2.00E+02,-8.42E+01,-7.69E+01,-1.33E+02,,,,,,
4723,-2.00E+02,-8.54E+01,-7.71E+01,-1.33E+02,,,,,,
4724,-2.01E+02,-8.59E+01,-7.64E+01,-1.34E+02,,,,,,
4725,-2.00E+02,-8.51E+01,-7.56E+01,-1.33E+02,,,,,,
4726,-2.01E+02,-8.55E+01,-7.78E+01,-1.34E+02,,,,,,
4727,-2.04E+02,-8.56E+01,-7.67E+01,-1.34E+02,,,,,,
4728,-2.01E+02,-8.49E+01,-7.77E+01,-1.34E+02,,,,,,
4729,-2.02E+02,-8.54E+01,-7.83E+01,-1.34E+02,,,,,,
4730,-2.03E+02,-8.63E+01,-7.73E+01,-1.34E+02,,,,,,
4731,-2.00E+02,-8.50E+01,-7.97E+01,-1.33E+02,,,,,,
4732,-2.01E+02,-8.70E+01,-7.98E+01,-1.34E+02,,,,,,
4733,-2.00E+02,-8.95E+01,-8.00E+01,-1.36E+02,,,,,,
4734,-1.98E+02,-8.86E+01,-8.15E+01,-1.36E+02,,,,,,
4735,-1.98E+02,-8.88E+01,-8.12E+01,-1.35E+02,,,,,,
4736,-1.98E+02,-8.90E+01,-8.27E+01,-1.36E+02,,,,,,
4737,-1.95E+02,-8.67E+01,-8.25E+01,-1.36E+02,,,,,,
4738,-1.97E+02,-8.86E+01,-8.43E+01,-1.36E+02,,,,,,
4739,-1.96E+02,-8.83E+01,-8.43E+01,-1.37E+02,,,,,,
4740,-1.91E+02,-9.05E+01,-8.46E+01,-1.36E+02,,,,,,
4741,-1.93E+02,-9.24E+01,-8.27E+01,-1.37E+02,,,,,,
4742,-1.94E+02,-9.17E+01,-8.21E+01,-1.36E+02,,,,,,
4743,-1.95E+02,-9.28E+01,-8.25E+01,-1.36E+02,,,,,,
4744,-1.95E+02,-9.15E+01,-8.18E+01,-1.36E+02,,,,,,
4745,-1.92E+02,-9.21E+01,-8.20E+01,-1.36E+02,,,,,,
4746,-1.90E+02,-9.18E+01,-8.10E+01,-1.37E+02,,,,,,
4747,-1.91E+02,-9.22E+01,-8.16E+01,-1.37E+02,,,,,,
4748,-1.89E+02,-9.25E+01,-8.17E+01,-1.37E+02,,,,,,
4749,-1.89E+02,-9.27E+01,-8.21E+01,-1.37E+02,,,,,,
4750,-1.87E+02,-9.29E+01,-8.35E+01,-1.35E+02,,,,,,
4751,-1.84E+02,-9.30E+01,-8.42E+01,-1.35E+02,,,,,,
4752,-1.84E+02,-9.53E+01,-8.25E+01,-1.36E+02,,,,,,
4753,-1.84E+02,-9.35E+01,-8.22E+01,-1.35E+02,,,,,,
4754,-1.86E+02,-9.29E+01,-8.21E+01,-1.35E+02,,,,,,
4755,-1.86E+02,-9.31E+01,-8.43E+01,-1.35E+02,,,,,,
4756,-1.85E+02,-9.44E+01,-8.31E+01,-1.34E+02,,,,,,
4757,-1.84E+02,-9.55E+01,-8.32E+01,-1.34E+02,,,,,,
4758,-1.85E+02,-9.72E+01,-8.27E+01,-1.34E+02,,,,,,
4759,-1.87E+02,-9.75E+01,-8.31E+01,-1.35E+02,,,,,,
4760,-1.86E+02,-9.65E+01,-8.05E+01,-1.36E+02,,,,,,
4761,-1.85E+02,-9.68E+01,-8.05E+01,-1.36E+02,,,,,,
4762,-1.85E+02,-9.60E+01,-8.06E+01,-1.35E+02,,,,,,
4763,-1.81E+02,-9.55E+01,-8.05E+01,-1.35E+02,,,,,,
4764,-1.81E+02,-9.58E+01,-8.22E+01,-1.37E+02,,,,,,
4765,-1.81E+02,-9.66E+01,-8.35E+01,-1.37E+02,,,,,,
4766,-1.81E+02,-9.57E+01,-8.33E+01,-1.37E+02,,,,,,
4767,-1.80E+02,-9.68E+01,-8.32E+01,-1.37E+02,,,,,,
4768,-1.80E+02,-9.71E+01,-8.22E+01,-1.36E+02,,,,,,
4769,-1.75E+02,-9.79E+01,-8.16E+01,-1.35E+02,,,,,,
4770,-1.74E+02,-9.72E+01,-8.13E+01,-1.35E+02,,,,,,
4771,-1.74E+02,-9.57E+01,-8.14E+01,-1.33E+02,,,,,,
4772,-1.73E+02,-9.53E+01,-8.08E+01,-1.34E+02,,,,,,
4773,-1.73E+02,-9.49E+01,-8.16E+01,-1.33E+02,,,,,,
4774,-1.76E+02,-9.36E+01,-8.37E+01,-1.33E+02,,,,,,
4775,-1.76E+02,-9.34E+01,-8.41E+01,-1.33E+02,,,,,,
4776,-1.78E+02,-9.18E+01,-8.43E+01,-1.33E+02,,,,,,
4777,-1.77E+02,-9.26E+01,-8.42E+01,-1.32E+02,,,,,,
4778,-1.76E+02,-9.21E+01,-8.36E+01,-1.32E+02,,,,,,
4779,-1.75E+02,-8.93E+01,-8.42E+01,-1.31E+02,,,,,,
4780,-1.74E+02,-8.93E+01,-8.34E+01,-1.31E+02,,,,,,
4781,-1.71E+02,-8.92E+01,-8.43E+01,-1.30E+02,,,,,,
4782,-1.69E+02,-9.04E+01,-8.39E+01,-1.31E+02,,,,,,
4783,-1.71E+02,-9.10E+01,-8.19E+01,-1.30E+02,,,,,,
4784,-1.68E+02,-9.13E+01,-8.25E+01,-1.32E+02,,,,,,
4785,-1.70E+02,-9.24E+01,-8.34E+01,-1.32E+02,,,,,,
4786,-1.73E+02,-9.25E+01,-8.56E+01,-1.33E+02,,,,,,
4787,-1.73E+02,-9.26E+01,-8.57E+01,-1.33E+02,,,,,,
4788,-1.73E+02,-9.24E+01,-8.74E+01,-1.33E+02,,,,,,
4789,-1.73E+02,-9.10E+01,-8.73E+01,-1.33E+02,,,,,,
4790,-1.73E+02,-9.20E+01,-8.71E+01,-1.33E+02,,,,,,
4791,-1.76E+02,-9.09E+01,-8.71E+01,-1.33E+02,,,,,,
4792,-1.77E+02,-8.91E+01,-8.70E+01,-1.34E+02,,,,,,
4793,-1.74E+02,-8.92E+01,-8.68E+01,-1.34E+02,,,,,,
4794,-1.76E+02,-8.91E+01,-8.64E+01,-1.34E+02,,,,,,
4795,-1.76E+02,-8.87E+01,-8.53E+01,-1.34E+02,,,,,,
4796,-1.76E+02,-8.86E+01,-8.56E+01,-1.34E+02,,,,,,
4797,-1.77E+02,-8.84E+01,-8.52E+01,-1.34E+02,,,,,,
4798,-1.77E+02,-8.64E+01,-8.55E+01,-1.34E+02,,,,,,
4799,-1.76E+02,-8.70E+01,-8.63E+01,-1.33E+02,,,,,,
4800,-1.76E+02,-8.74E+01,-8.82E+01,-1.33E+02,,,,,,
4801,-1.76E+02,-8.76E+01,-8.77E+01,-1.32E+02,,,,,,
4802,-1.73E+02,-8.76E+01,-8.55E+01,-1.32E+02,,,,,,
4803,-1.75E+02,-8.99E+01,-8.53E+01,-1.31E+02,,,,,,
4804,-1.75E+02,-8.98E+01,-8.35E+01,-1.33E+02,,,,,,
4805,-1.73E+02,-9.09E+01,-8.36E+01,-1.35E+02,,,,,,
4806,-1.73E+02,-9.12E+01,-8.27E+01,-1.35E+02,,,,,,
4807,-1.71E+02,-9.09E+01,-8.28E+01,-1.35E+02,,,,,,
4808,-1.69E+02,-9.05E+01,-8.22E+01,-1.37E+02,,,,,,
4809,-1.68E+02,-8.98E+01,-8.25E+01,-1.36E+02,,,,,,
4810,-1.67E+02,-8.97E+01,-8.22E+01,-1.36E+02,,,,,,
4811,-1.68E+02,-8.91E+01,-8.20E+01,-1.36E+02,,,,,,
4812,-1.67E+02,-8.83E+01,-7.96E+01,-1.36E+02,,,,,,
4813,-1.67E+02,-8.93E+01,-8.10E+01,-1.36E+02,,,,,,
4814,-1.67E+02,-8.99E+01,-8.06E+01,-1.36E+02,,,,,,
4815,-1.67E+02,-8.99E+01,-7.91E+01,-1.36E+02,,,,,,
4816,-1.64E+02,-8.85E+01,-7.74E+01,-1.35E+02,,,,,,
4817,-1.64E+02,-8.86E+01,-7.72E+01,-1.35E+02,,,,,,
4818,-1.65E+02,-8.83E+01,-7.66E+01,-1.35E+02,,,,,,
4819,-1.65E+02,-8.81E+01,-7.60E+01,-1.35E+02,,,,,,
4820,-1.64E+02,-8.67E+01,-7.81E+01,-1.36E+02,,,,,,
4821,-1.63E+02,-8.58E+01,-7.76E+01,-1.37E+02,,,,,,
4822,-1.63E+02,-8.47E+01,-7.79E+01,-1.37E+02,,,,,,
4823,-1.63E+02,-8.33E+01,-7.80E+01,-1.37E+02,,,,,,
4824,-1.62E+02,-8.34E+01,-7.80E+01,-1.37E+02,,,,,,
4825,-1.61E+02,-8.32E+01,-7.79E+01,-1.38E+02,,,,,,
4826,-1.61E+02,-8.37E+01,-7.78E+01,-1.38E+02,,,,,,
4827,-1.58E+02,-8.40E+01,-7.85E+01,-1.38E+02,,,,,,
4828,-1.60E+02,-8.51E+01,-7.77E+01,-1.38E+02,,,,,,
4829,-1.61E+02,-8.76E+01,-7.84E+01,-1.37E+02,,,,,,
4830,-1.60E+02,-8.72E+01,-7.95E+01,-1.38E+02,,,,,,
4831,-1.61E+02,-8.75E+01,-7.76E+01,-1.37E+02,,,,,,
4832,-1.61E+02,-8.56E+01,-7.69E+01,-1.37E+02,,,,,,
4833,-1.62E+02,-8.41E+01,-7.68E+01,-1.34E+02,,,,,,
4834,-1.60E+02,-8.47E+01,-7.43E+01,-1.33E+02,,,,,,
4835,-1.62E+02,-8.64E+01,-7.45E+01,-1.33E+02,,,,,,
4836,-1.62E+02,-8.64E+01,-7.50E+01,-1.33E+02,,,,,,
4837,-1.63E+02,-8.78E+01,-7.45E+01,-1.33E+02,,,,,,
4838,-1.61E+02,-8.68E+01,-7.38E+01,-1.31E+02,,,,,,
4839,-1.59E+02,-8.76E+01,-7.42E+01,-1.31E+02,,,,,,
4840,-1.60E+02,-8.49E+01,-7.51E+01,-1.31E+02,,,,,,
4841,-1.58E+02,-8.32E+01,-7.51E+01,-1.32E+02,,,,,,
4842,-1.58E+02,-8.33E+01,-7.51E+01,-1.31E+02,,,,,,
4843,-1.57E+02,-8.27E+01,-7.46E+01,-1.31E+02,,,,,,
4844,-1.57E+02,-8.38E+01,-7.52E+01,-1.31E+02,,,,,,
4845,-1.59E+02,-8.43E+01,-7.47E+01,-1.31E+02,,,,,,
4846,-1.61E+02,-8.35E+01,-7.47E+01,-1.31E+02,,,,,,
4847,-1.60E+02,-8.34E+01,-7.50E+01,-1.31E+02,,,,,,
4848,-1.60E+02,-8.44E+01,-7.50E+01,-1.31E+02,,,,,,
4849,-1.60E+02,-8.47E+01,-7.49E+01,-1.31E+02,,,,,,
4850,-1.60E+02,-8.54E+01,-7.37E+01,-1.32E+02,,,,,,
4851,-1.62E+02,-8.57E+01,-7.31E+01,-1.32E+02,,,,,,
4852,-1.63E+02,-8.42E+01,-7.39E+01,-1.31E+02,,,,,,
4853,-1.62E+02,-8.36E+01,-7.41E+01,-1.31E+02,,,,,,
4854,-1.61E+02,-8.33E+01,-7.60E+01,-1.30E+02,,,,,,
4855,-1.64E+02,-8.28E+01,-7.36E+01,-1.30E+02,,,,,,
4856,-1.64E+02,-8.28E+01,-7.43E+01,-1.31E+02,,,,,,
4857,-1.63E+02,-8.11E+01,-7.47E+01,-1.31E+02,,,,,,
4858,-1.64E+02,-7.92E+01,-7.48E+01,-1.30E+02,,,,,,
4859,-1.65E+02,-7.99E+01,-7.44E+01,-1.29E+02,,,,,,
4860,-1.66E+02,-8.24E+01,-7.52E+01,-1.29E+02,,,,,,
4861,-1.67E+02,-8.24E+01,-7.54E+01,-1.29E+02,,,,,,
4862,-1.67E+02,-8.32E+01,-7.51E+01,-1.30E+02,,,,,,
4863,-1.67E+02,-8.30E+01,-7.55E+01,-1.30E+02,,,,,,
4864,-1.66E+02,-8.26E+01,-7.35E+01,-1.28E+02,,,,,,
4865,-1.65E+02,-8.17E+01,-7.41E+01,-1.28E+02,,,,,,
4866,-1.66E+02,-8.31E+01,-7.56E+01,-1.28E+02,,,,,,
4867,-1.64E+02,-8.27E+01,-7.55E+01,-1.28E+02,,,,,,
4868,-1.65E+02,-8.25E+01,-7.63E+01,-1.28E+02,,,,,,
4869,-1.66E+02,-8.27E+01,-7.56E+01,-1.29E+02,,,,,,
4870,-1.67E+02,-8.25E+01,-7.53E+01,-1.27E+02,,,,,,
4871,-1.69E+02,-8.24E+01,-7.52E+01,-1.28E+02,,,,,,
4872,-1.68E+02,-8.24E+01,-7.48E+01,-1.27E+02,,,,,,
4873,-1.68E+02,-8.31E+01,-7.35E+01,-1.28E+02,,,,,,
4874,-1.65E+02,-8.38E+01,-7.11E+01,-1.28E+02,,,,,,
4875,-1.67E+02,-8.37E+01,-6.98E+01,-1.28E+02,,,,,,
4876,-1.67E+02,-8.73E+01,-7.11E+01,-1.28E+02,,,,,,
4877,-1.68E+02,-8.64E+01,-7.18E+01,-1.28E+02,,,,,,
4878,-1.72E+02,-8.65E+01,-7.30E+01,-1.28E+02,,,,,,
4879,-1.72E+02,-8.77E+01,-7.17E+01,-1.28E+02,,,,,,
4880,-1.72E+02,-8.87E+01,-7.21E+01,-1.28E+02,,,,,,
4881,-1.73E+02,-8.81E+01,-7.20E+01,-1.28E+02,,,,,,
4882,-1.72E+02,-8.66E+01,-7.15E+01,-1.27E+02,,,,,,
4883,-1.73E+02,-8.54E+01,-7.12E+01,-1.28E+02,,,,,,
4884,-1.74E+02,-8.52E+01,-7.06E+01,-1.28E+02,,,,,,
4885,-1.75E+02,-8.43E+01,-6.97E+01,-1.27E+02,,,,,,
4886,-1.72E+02,-8.40E+01,-6.77E+01,-1.27E+02,,,,,,
4887,-1.73E+02,-8.38E+01,-6.80E+01,-1.27E+02,,,,,,
4888,-1.73E+02,-8.32E+01,-6.67E+01,-1.27E+02,,,,,,
4889,-1.72E+02,-8.62E+01,-6.71E+01,-1.27E+02,,,,,,
4890,-1.73E+02,-8.65E+01,-6.80E+01,-1.27E+02,,,,,,
4891,-1.73E+02,-8.68E+01,-6.90E+01,-1.28E+02,,,,,,
4892,-1.74E+02,-8.58E+01,-6.85E+01,-1.27E+02,,,,,,
4893,-1.76E+02,-8.53E+01,-6.86E+01,-1.27E+02,,,,,,
4894,-1.74E+02,-8.65E+01,-7.03E+01,-1.28E+02,,,,,,
4895,-1.76E+02,-8.74E+01,-7.07E+01,-1.27E+02,,,,,,
4896,-1.75E+02,-8.80E+01,-7.08E+01,-1.27E+02,,,,,,
4897,-1.74E+02,-8.96E+01,-7.21E+01,-1.28E+02,,,,,,
4898,-1.74E+02,-8.97E+01,-7.21E+01,-1.28E+02,,,,,,
4899,-1.74E+02,-8.93E+01,-7.16E+01,-1.29E+02,,,,,,
4900,-1.73E+02,-8.86E+01,-7.03E+01,-1.29E+02,,,,,,
4901,-1.74E+02,-8.84E+01,-7.12E+01,-1.28E+02,,,,,,
4902,-1.74E+02,-8.92E+01,-7.29E+01,-1.29E+02,,,,,,
4903,-1.75E+02,-8.87E+01,-7.37E+01,-1.29E+02,,,,,,
4904,-1.73E+02,-8.87E+01,-7.38E+01,-1.29E+02,,,,,,
4905,-1.75E+02,-8.75E+01,-7.44E+01,-1.28E+02,,,,,,
4906,-1.77E+02,-8.76E+01,-7.45E+01,-1.28E+02,,,,,,
4907,-1.78E+02,-8.74E+01,-7.51E+01,-1.28E+02,,,,,,
4908,-1.78E+02,-8.72E+01,-7.56E+01,-1.27E+02,,,,,,
4909,-1.77E+02,-8.83E+01,-7.70E+01,-1.28E+02,,,,,,
4910,-1.78E+02,-8.88E+01,-7.69E+01,-1.28E+02,,,,,,
4911,-1.77E+02,-8.86E+01,-7.72E+01,-1.28E+02,,,,,,
4912,-1.79E+02,-8.90E+01,-7.77E+01,-1.30E+02,,,,,,
4913,-1.81E+02,-8.88E+01,-7.90E+01,-1.31E+02,,,,,,
4914,-1.82E+02,-8.82E+01,-7.91E+01,-1.31E+02,,,,,,
4915,-1.82E+02,-8.72E+01,-7.91E+01,-1.32E+02,,,,,,
4916,-1.82E+02,-8.87E+01,-7.70E+01,-1.31E+02,,,,,,
4917,-1.81E+02,-8.84E+01,-7.89E+01,-1.32E+02,,,,,,
4918,-1.80E+02,-9.05E+01,-7.89E+01,-1.32E+02,,,,,,
4919,-1.81E+02,-9.10E+01,-7.88E+01,-1.31E+02,,,,,,
4920,-1.82E+02,-9.09E+01,-7.95E+01,-1.30E+02,,,,,,
4921,-1.82E+02,-9.05E+01,-8.05E+01,-1.30E+02,,,,,,
4922,-1.84E+02,-9.11E+01,-7.96E+01,-1.30E+02,,,,,,
4923,-1.85E+02,-9.35E+01,-7.92E+01,-1.30E+02,,,,,,
4924,-1.84E+02,-9.36E+01,-7.94E+01,-1.30E+02,,,,,,
4925,-1.87E+02,-9.46E+01,-8.18E+01,-1.29E+02,,,,,,
4926,-1.86E+02,-9.43E+01,-8.04E+01,-1.29E+02,,,,,,
4927,-1.87E+02,-9.41E+01,-7.98E+01,-1.28E+02,,,,,,
4928,-1.88E+02,-9.52E+01,-8.16E+01,-1.28E+02,,,,,,
4929,-1.90E+02,-9.18E+01,-8.19E+01,-1.28E+02,,,,,,
4930,-1.90E+02,-9.11E+01,-8.10E+01,-1.28E+02,,,,,,
4931,-1.89E+02,-9.14E+01,-8.13E+01,-1.28E+02,,,,,,
4932,-1.87E+02,-9.08E+01,-8.16E+01,-1.29E+02,,,,,,
4933,-1.88E+02,-9.07E+01,-8.16E+01,-1.29E+02,,,,,,
4934,-1.89E+02,-9.08E+01,-8.31E+01,-1.30E+02,,,,,,
4935,-1.88E+02,-8.91E+01,-8.26E+01,-1.30E+02,,,,,,
4936,-1.87E+02,-8.92E+01,-8.17E+01,-1.30E+02,,,,,,
4937,-1.86E+02,-8.94E+01,-8.35E+01,-1.30E+02,,,,,,
4938,-1.86E+02,-8.76E+01,-8.32E+01,-1.31E+02,,,,,,
4939,-1.88E+02,-8.50E+01,-8.26E+01,-1.31E+02,,,,,,
4940,-1.89E+02,-8.57E+01,-8.44E+01,-1.32E+02,,,,,,
4941,-1.90E+02,-8.62E+01,-8.42E+01,-1.31E+02,,,,,,
4942,-1.92E+02,-8.45E+01,-8.58E+01,-1.32E+02,,,,,,
4943,-1.95E+02,-8.44E+01,-8.63E+01,-1.32E+02,,,,,,
4944,-1.93E+02,-8.36E+01,-8.61E+01,-1.34E+02,,,,,,
4945,-1.91E+02,-8.33E+01,-8.59E+01,-1.33E+02,,,,,,
4946,-1.89E+02,-8.39E+01,-8.70E+01,-1.34E+02,,,,,,
4947,-1.87E+02,-8.38E+01,-8.64E+01,-1.34E+02,,,,,,
4948,-1.89E+02,-8.38E+01,-8.80E+01,-1.34E+02,,,,,,
4949,-1.91E+02,-8.35E+01,-8.73E+01,-1.34E+02,,,,,,
4950,-1.91E+02,-8.18E+01,-8.76E+01,-1.35E+02,,,,,,
4951,-1.90E+02,-8.21E+01,-8.84E+01,-1.35E+02,,,,,,
4952,-1.89E+02,-8.21E+01,-8.76E+01,-1.36E+02,,,,,,
4953,-1.89E+02,-8.27E+01,-8.75E+01,-1.36E+02,,,,,,
4954,-1.89E+02,-8.27E+01,-8.63E+01,-1.36E+02,,,,,,
4955,-1.84E+02,-8.27E+01,-8.58E+01,-1.35E+02,,,,,,
4956,-1.85E+02,-8.37E+01,-8.60E+01,-1.35E+02,,,,,,
4957,-1.86E+02,-8.49E+01,-8.62E+01,-1.35E+02,,,,,,
4958,-1.86E+02,-8.71E+01,-8.54E+01,-1.36E+02,,,,,,
4959,-1.83E+02,-8.59E+01,-8.64E+01,-1.36E+02,,,,,,
4960,-1.82E+02,-8.37E+01,-8.46E+01,-1.37E+02,,,,,,
4961,-1.83E+02,-8.42E+01,-8.64E+01,-1.37E+02,,,,,,
4962,-1.84E+02,-8.63E+01,-8.64E+01,-1.37E+02,,,,,,
4963,-1.85E+02,-8.86E+01,-8.60E+01,-1.37E+02,,,,,,
4964,-1.87E+02,-8.86E+01,-8.62E+01,-1.37E+02,,,,,,
4965,-1.87E+02,-8.85E+01,-8.39E+01,-1.37E+02,,,,,,
4966,-1.87E+02,-8.85E+01,-8.20E+01,-1.37E+02,,,,,,
4967,-1.88E+02,-8.94E+01,-8.18E+01,-1.37E+02,,,,,,
4968,-1.87E+02,-8.87E+01,-8.21E+01,-1.38E+02,,,,,,
4969,-1.88E+02,-8.86E+01,-8.21E+01,-1.37E+02,,,,,,
4970,-1.87E+02,-8.97E+01,-8.24E+01,-1.38E+02,,,,,,
4971,-1.85E+02,-9.17E+01,-8.22E+01,-1.38E+02,,,,,,
4972,-1.85E+02,-9.21E+01,-8.28E+01,-1.38E+02,,,,,,
4973,-1.86E+02,-9.05E+01,-8.23E+01,-1.38E+02,,,,,,
