Episode Number,Random Agent,Naïve Sarsa,"Sarsa, Space Discretized","Sarsa, Space Discretized, Noisy Observation",Deep Q-Network,"Deep Q-Network, Noisy Observation",Dueling Deep Q-Network,"Dueling Deep Q-Network, Noisy Observation",REINFORCE,"REINFORCE, Noisy Observation"
146,-1.84E+02,-1.82E+02,-1.25E+02,-1.36E+02,2.04E+01,-97.79,1.30E+01,-45.3,-1.83E+02,-1.33E+02
147,-1.83E+02,-1.82E+02,-1.24E+02,-1.36E+02,2.39E+01,-98.08,1.71E+01,-43.2,-1.84E+02,-1.34E+02
148,-1.85E+02,-1.81E+02,-1.22E+02,-1.36E+02,2.69E+01,-92.92,1.61E+01,-44,-1.82E+02,-1.35E+02
149,-1.84E+02,-1.80E+02,-1.21E+02,-1.35E+02,3.08E+01,-94.04,1.77E+01,-39.4,-1.82E+02,-1.35E+02
150,-1.85E+02,-1.78E+02,-1.23E+02,-1.35E+02,3.43E+01,-82.3,2.07E+01,-39.6,-1.81E+02,-1.36E+02
151,-1.84E+02,-1.76E+02,-1.22E+02,-1.36E+02,3.61E+01,-84.08,1.80E+01,-36.3,-1.81E+02,-1.34E+02
152,-1.83E+02,-1.77E+02,-1.23E+02,-1.36E+02,3.65E+01,-81.73,2.14E+01,-33.3,-1.80E+02,-1.34E+02
153,-1.83E+02,-1.74E+02,-1.23E+02,-1.36E+02,4.05E+01,-81.98,2.55E+01,-31.2,-1.80E+02,-1.34E+02
154,-1.84E+02,-1.74E+02,-1.22E+02,-1.35E+02,4.57E+01,-78.22,2.96E+01,-32.8,-1.81E+02,-1.33E+02
155,-1.81E+02,-1.71E+02,-1.21E+02,-1.35E+02,4.78E+01,-74.69,3.04E+01,-25.8,-1.82E+02,-1.33E+02
156,-1.81E+02,-1.68E+02,-1.21E+02,-1.35E+02,4.98E+01,-73.27,3.08E+01,-26.4,-1.83E+02,-1.33E+02
157,-1.81E+02,-1.67E+02,-1.21E+02,-1.36E+02,5.05E+01,-69.47,3.13E+01,-23.8,-1.85E+02,-1.32E+02
158,-1.84E+02,-1.68E+02,-1.20E+02,-1.35E+02,5.53E+01,-67.91,3.39E+01,-24.5,-1.85E+02,-1.31E+02
159,-1.88E+02,-1.70E+02,-1.21E+02,-1.36E+02,5.95E+01,-65.23,3.41E+01,-26.2,-1.87E+02,-1.30E+02
160,-1.84E+02,-1.71E+02,-1.21E+02,-1.37E+02,7.20E+01,-62.71,3.70E+01,-27.4,-1.84E+02,-1.30E+02
161,-1.83E+02,-1.73E+02,-1.24E+02,-1.38E+02,7.48E+01,-56.8,3.76E+01,-26.8,-1.86E+02,-1.30E+02
162,-1.84E+02,-1.71E+02,-1.22E+02,-1.38E+02,7.88E+01,-52.32,4.38E+01,-27.8,-1.87E+02,-1.29E+02
163,-1.83E+02,-1.68E+02,-1.24E+02,-1.38E+02,7.84E+01,-51.27,5.13E+01,-23.7,-1.88E+02,-1.29E+02
164,-1.83E+02,-1.69E+02,-1.24E+02,-1.38E+02,8.24E+01,-52.3,5.31E+01,-23.2,-1.89E+02,-1.29E+02
165,-1.84E+02,-1.70E+02,-1.23E+02,-1.39E+02,8.85E+01,-49.58,5.64E+01,-24.8,-1.91E+02,-1.28E+02
166,-1.82E+02,-1.71E+02,-1.23E+02,-1.38E+02,9.40E+01,-47.89,5.73E+01,-23.3,-1.90E+02,-1.27E+02
167,-1.83E+02,-1.72E+02,-1.22E+02,-1.38E+02,9.64E+01,-46.91,5.97E+01,-23.6,-1.92E+02,-1.28E+02
168,-1.81E+02,-1.71E+02,-1.22E+02,-1.38E+02,1.01E+02,-45.16,6.02E+01,-20.7,-1.90E+02,-1.28E+02
169,-1.79E+02,-1.74E+02,-1.21E+02,-1.38E+02,1.04E+02,-45,6.28E+01,-20.6,-1.91E+02,-1.29E+02
170,-1.78E+02,-1.75E+02,-1.20E+02,-1.38E+02,1.07E+02,-48.19,6.59E+01,-17.5,-1.92E+02,-1.31E+02
171,-1.77E+02,-1.73E+02,-1.20E+02,-1.38E+02,1.04E+02,-50.21,6.67E+01,-14.6,-1.91E+02,-1.31E+02
172,-1.77E+02,-1.73E+02,-1.19E+02,-1.38E+02,1.07E+02,-49.9,7.09E+01,-12.1,-1.92E+02,-1.31E+02
173,-1.76E+02,-1.72E+02,-1.19E+02,-1.38E+02,1.07E+02,-47.29,7.35E+01,-8.6,-1.91E+02,-1.31E+02
174,-1.74E+02,-1.74E+02,-1.20E+02,-1.38E+02,1.05E+02,-42.93,7.30E+01,-6.3,-1.91E+02,-1.30E+02
175,-1.74E+02,-1.73E+02,-1.19E+02,-1.37E+02,1.05E+02,-43.31,7.20E+01,-6,-1.89E+02,-1.30E+02
176,-1.75E+02,-1.73E+02,-1.19E+02,-1.37E+02,1.09E+02,-42.57,7.53E+01,-6.3,-1.87E+02,-1.30E+02
177,-1.75E+02,-1.73E+02,-1.20E+02,-1.37E+02,1.15E+02,-41.48,7.57E+01,-5.1,-1.87E+02,-1.30E+02
